#,identifier,typ,DEC (rad),RA (rad),plx (mas),Mag V (mag)
12981,HD 30504,PM*,0.6542939106,1.264973785,7.1331,4.867
12982,HD 49908,*,0.3798036343,1.795729007,7.6158,5.259
12983,HD 145158,PM*,-0.7912176346,4.238152944,25.794,6.644
12984,HD 99945,PM*,1.415937747,3.018731165,16.5175,6.110
12985,HD 196865,PM*,0.8389817585,5.4030268,7.7319,6.609
12986,HD 14228,PM*,-0.8990568869,0.595636229,21.6862,3.57
12987,HD 151109,*,-0.6899962443,4.393988405,5.7313,7.00
12988,HD 190454,*,-0.2210488225,5.259719508,8.1274,6.53
12989,HD 16920,SB*,-0.9520755697,0.7010124647,20.2364,5.21
12990,HD 77445,*,0.1273788006,2.368180291,5.7957,5.831
12991,HD 37743,*,-0.03391556304,1.486843896,~,3.73
12992,HD 150550,Pu*,-1.188603528,4.393542453,9.3725,6.53
12993,HD 152408,WR*,-0.7182179828,4.428664265,0.5417,5.77
12994,HD 2083,Em*,1.25327076,0.1128093036,0.9812,6.905
12995,HD 132953,*,-0.132213943,3.936341131,10.3962,6.373
12996,HD 164309,*,0.154565852,4.713307024,7.104,6.89
12997,HD 214298,*,0.2195068657,5.921382104,4.2889,6.280
12998,HD 37306,*,-0.2055215245,1.471077833,14.3768,6.089
12999,HD 13869,*,0.5822226021,0.5931419725,9.0683,5.249
13000,HD 135382,PM*,-1.198684218,4.009499897,17.1809,2.89
13001,HD 82224,*,-0.7538120604,2.484367439,9.8401,6.596
13002,HD 202734,*,1.13010641,5.56225938,5.9225,6.98
13003,HD 30869A,SB*,0.2383272931,1.273361578,~,6.36
13004,HD 102224,PM*,0.8339079187,3.080725319,16.4382,3.72
13005,HD 63241,*,0.09441902655,2.042283849,2.351,6.60
13006,HD 121981,PM*,-0.1208682142,3.660821845,7.0493,6.97
13007,HD 215616,*,-0.5791434365,5.964256058,5.9085,6.81
13008,HD 200702,*,-0.7223213445,5.525822936,3.5881,5.505
13009,HD 219675,SB*,0.3194782958,6.098274206,7.9524,6.72
13010,HD 17246,**,0.7726956451,0.7309405899,1.3999,6.47
13011,HD 61224,Be*,-0.2520388529,1.996860352,2.1469,6.516
13012,HD 11733,V*,-1.185855314,0.4912210303,4.322,6.76
13013,HD 85519,PM*,-0.2885865877,2.58305352,7.2138,6.074
13014,HD 156513,LP*,-1.411258088,4.587850041,4.1479,5.856
13015,HD 20301,SB*,-0.6205983331,0.849400301,5.4708,6.878
13016,HD 67147,dS*,0.9643963768,2.135763263,7.0625,6.82
13017,HD 94457,PM*,0.5171423986,2.856184563,14.7609,6.53
13018,HD 201545,*,0.3352908307,5.540394021,22.8206,6.960
13019,HD 189832,a2*,-0.6781046867,5.251639017,5.3982,6.90
13020,HD 207071,*,0.4465147729,5.698242976,4.9862,6.563
13021,HD 123409,PM*,0.4963375028,3.695431366,5.8337,6.890
13022,HD 71302A,*,-0.74647453,2.203275019,~,6.62
13023,HD 2723,PM*,-0.6897286736,0.1330310639,6.9415,6.61
13024,HD 28700,PM*,-0.8118446227,1.17519462,8.4964,6.117
13025,HD 8909,PM*,0.5333324351,0.3853648008,20.9111,6.91
13026,HD 47230,**,-0.6298654665,1.727441765,25.25,6.35
13027,HD 192472,LP*,-0.6362348937,5.307517961,2.9809,6.40
13028,HD 53205,*,0.02597905733,1.851516124,3.3728,6.57
13029,HD 81058,*,0.4523604173,2.46149466,6.1417,6.77
13030,HD 121293,PM*,-0.8842004625,3.647181495,6.7156,6.92
13031,HD 40204,*,0.8915294488,1.571497112,7.0485,6.76
13032,HD 12851,*,-1.229051703,0.535070882,3.3151,6.89
13033,HD 72485,Pu*,-0.8354301202,2.230430819,2.7838,6.373
13034,HD 156385,WR*,-0.7965676611,4.535667212,0.723,6.92
13035,HD 46602,*,-0.3651921623,1.716725188,9.3903,6.402
13036,HD 92463,*,-0.9705273777,2.78992901,4.2647,6.060
13037,HD 69302,**,-0.799963181,2.157217841,4.0389,5.836
13038,HD 55857,Pu*,-0.4774585339,1.891969594,1.4987,6.101
13039,HD 114576,**,-0.4634149966,3.454239155,9.04,6.50
13040,HD 187203,*,0.1866472061,5.185846932,1.2802,6.457
13041,HD 119445,PM*,0.7273534865,3.588746476,4.6803,6.289
13042,HD 187182,PM*,0.2348241204,5.184254346,15.3419,6.960
13043,HD 45184,PM*,-0.5023077742,1.678707096,45.6782,6.39
13044,HD 119834,SB*,-0.8976709589,3.606968636,12.1389,4.632
13045,HD 146870,PM*,0.9291552032,4.257678427,11.3585,6.950
13046,HD 197569,PM*,-1.200633885,5.449537611,11.5641,6.99
13047,HD 180317,*,0.370570356,5.040900738,11.8854,5.642
13048,HD 36217,LP?,0.07338751275,1.441345496,6.2133,6.202
13049,HD 1760,S*,-0.3500785716,0.0949948269,3.9694,5.74
13050,HD 45450,SB*,-1.021783326,1.674565403,10.0072,6.467
13051,HD 161817,HB*,0.4494074501,4.654257109,5.2514,6.97
13052,HD 135348,*,-0.7589563649,3.997564699,3.1713,6.034
13053,HD 89056,*,0.2396046364,2.690769569,4.805,5.41
13054,HD 110994,S*,-1.566812012,3.820064911,1.8237,6.848
13055,HD 8907,PM*,0.7377103777,0.3864711395,29.9408,6.66
13056,HD 16458,SB*,1.421544039,0.7321456779,6.6082,5.781
13057,HD 143766,PM*,-0.4663013953,4.203053489,19.5009,6.95
13058,HD 45050,**,0.02620637391,1.681223298,2.4453,6.661
13059,HD 158499,*,-0.8044574733,4.589970485,2.4226,6.90
13060,HD 131117,PM*,-0.5336737942,3.894491421,25.9443,6.29
13061,HD 995,PM*,0.7161542693,0.06353962107,3.9291,6.68
13062,HD 160435,C*,-1.007473323,4.63958983,1.7925,6.673
13063,HD 104101,*,0.03188210522,3.138970395,3.1282,6.79
13064,HD 175466,*,0.74879187,4.94571964,2.5457,6.61
13065,HD 114203,PM*,-0.1664712174,3.443697411,7.4539,6.32
13066,HD 38678,*,-0.2586918318,1.513879785,44.7940,3.525
13067,HD 195964,*,0.9909955526,5.374633031,3.829,6.141
13068,HD 44131,V*,-0.0513911074,1.658033388,6.5282,4.899
13069,HD 162596,SB*,-0.02158639658,4.677442022,9.0844,6.332
13070,HD 220466,PM*,-0.3800351781,6.126395063,15.3570,6.475
13071,HD 26630,SB*,0.8449022085,1.11220114,3.9395,4.16
13072,HD 1083,*,0.4761858806,0.06621813823,7.2189,6.342
13073,HD 90317,PM*,-1.447066071,2.697342496,13.2178,6.69
13074,HD 199810A,PM*,-0.6159597965,5.500727169,15.8481,6.75
13075,HD 131705,V*,-0.8979239687,3.91404005,3.8968,6.609
13076,HD 152236,s*b,-0.7393568981,4.42438981,0.5855,4.79
13077,HD 9896,PM*,-1.014725254,0.4156082104,24.7708,6.01
13078,HD 188512,PM*,0.1118191303,5.215537794,73.5249,3.710
13079,HD 135051,*,-0.4571641107,3.987591038,3.5792,5.857
13080,HD 190151,PM*,0.3193161202,5.249265707,15.5401,6.83
13081,HD 64572,*,-0.6346674837,2.06410685,4.0255,5.418
13082,HD 21364,PM*,0.1698683923,0.9039453316,16.7914,3.75
13083,HD 1976,SB*,0.907918838,0.1058581464,2.4621,5.580
13084,HD 139862,*,0.2103633574,4.102276164,4.5723,6.215
13085,M 36,OpC,0.5957681402,1.467542648,0.835,6.0
13086,HD 98025,*,-1.001048985,2.948351891,4.1722,6.418
13087,HD 19080,PM*,0.2767398038,0.8058071231,6.2164,6.370
13088,HD 80447,PM*,-0.197483373,2.441562466,6.1323,6.618
13089,HD 3421,*,0.6178378805,0.1629860992,3.1952,5.431
13090,HD 126862A,PM*,-1.181888146,3.801650003,12.7533,5.903
13091,HD 154346,*,0.6001050961,4.465582194,4.1686,6.67
13092,HD 206874,SB*,0.5023337369,5.69116842,12.2571,6.90
13093,HD 80956,PM*,0.4395234672,2.458861684,6.4022,6.400
13094,HD 82406,PM*,-1.164167393,2.480587954,11.993,5.886
13095,HD 188603,*,-0.4742041603,5.222667453,3.8051,4.528
13096,HD 34959,Be*,0.07002173046,1.402030733,2.3458,6.52
13097,HD 84926,*,-0.6665362407,2.563803927,1.979,6.81
13098,HD 34642,PM*,-0.6090361465,1.385288825,30.7880,4.83
13099,HD 109668,**,-1.206643236,3.303836853,10.34,2.649
13100,HD 101545,**,-1.092019385,3.057017134,0.54,6.38
13101,HD 131786,*,0.1184165628,3.906835812,3.1151,6.76
13102,HD 210111,dS*,-0.5781524099,5.797594282,12.7134,6.386
13103,HD 132833,V*,-0.0480824736,3.932795944,4.5222,5.52
13104,HD 44120,PM*,-1.033470584,1.641975625,27.7563,6.43
13105,HD 104600,*,-1.207633253,3.153060383,9.6358,5.876
13106,HD 71919,**,-0.960126811,2.214208448,6.30,6.51
13107,HD 117432,**,-1.140081269,3.542853888,11.4820,6.61
13108,HD 122703,*,-0.3913307108,3.68214222,11.7886,6.299
13109,HD 150117,*,0.923705434,4.34686768,7.8893,5.39
13110,HD 51733,**,-0.4298889893,1.821972199,24.7137,5.47
13111,HD 83805,PM*,0.6939054361,2.539478962,9.0714,5.610
13112,HD 17689,*,0.7835517069,0.7499738528,3.3088,6.55
13113,HD 69213,dS*,-0.7779943538,2.155855853,9.9703,6.70
13114,HD 8333,*,0.08269816278,0.3609534598,5.3004,6.86
13115,HD 198343,LP*,1.019565013,5.441141034,1.1569,6.96
13116,HD 22878,*,0.089463306,0.961970243,4.5533,6.62
13117,HD 111591,PM*,0.3990417859,3.36101657,8.869,6.43
13118,HD 180316,*,0.488013186,5.039554477,1.9847,6.910
13119,HD 23277,SB*,1.23693317,1.000200146,8.7759,5.391
13120,HD 33345,*,-0.03726309343,1.35043038,6.8987,6.571
13121,HD 190004A,PM*,0.4352508589,5.24481864,~,5.79
13122,HD 97603,PM*,0.3582064563,2.941352587,55.82,2.53
13123,HD 68562,*,0.7511021963,2.159045344,5.9497,6.86
13124,HD 41040,SB*,0.3436651528,1.585876258,3.8145,5.130
13125,HD 18391,s*y,1.006413441,0.7845780441,0.4084,6.89
13126,HD 197093,*,-0.6904318415,5.423098796,3.2431,6.289
13127,HD 99126,PM*,-0.1031487816,2.986095653,20.0722,6.95
13128,HD 218269,*,-0.8846495382,6.053003603,24.3269,6.24
13129,HD 90549,*,-0.6869964244,2.733301776,6.9075,6.79
13130,HD 74137,PM*,-0.2782645684,2.276442846,15.7077,4.866
13131,HD 72738A,*,-0.9287231011,2.234382112,4.3779,6.03
13132,HD 80950,*,-1.304364665,2.4323759,13.09,5.857
13133,HD 134044,PM*,0.6362783742,3.955726593,33.4086,6.351
13134,HD 42083,SB*,0.9188666958,1.622131776,9.6389,6.268
13135,HD 20468,*,0.597297989,0.8671251438,2.8435,4.82
13136,HD 166233A,*,0.06969618405,4.754122948,~,5.92
13137,HD 15089B,*,1.176385571,0.6503940993,21.0325,6.87
13138,HD 139063,*,-0.491050313,4.08853914,15.5267,3.589
13139,HD 42933,SB*,-0.9593838041,1.6157319,2.1503,4.72
13140,HD 148857,**,0.03462597938,4.32367675,18.84,3.90
13141,HD 64052,LP*,0.05720043639,2.060011373,5.7446,6.39
13142,HD 51418,a2*,0.7385317809,1.829696154,5.6092,6.67
13143,HD 81038,*,-1.081982817,2.445776832,2.2449,6.895
13144,HD 45560,*,1.389273612,1.746536157,7.0637,6.760
13145,HD 123004,*,-0.7520920533,3.692164425,7.7976,6.176
13146,HD 43380,PM*,0.8091423705,1.650562614,8.5749,6.323
13147,HD 52092,**,-0.595361306,1.825693583,5.5437,5.068
13148,HD 131625,*,-0.5908948759,3.90842549,12.9287,5.312
13149,HD 147025,*,0.4519824736,4.269049958,6.5559,6.693
13150,HD 92196,PM*,0.2814766543,2.787765976,19.3769,6.604
13151,HD 129566,*,-0.1692924436,3.854693236,7.3863,6.53
13152,HD 141851,**,-0.05393950974,4.150654177,17.3357,5.10
13153,HD 3546,PM*,0.5115866034,0.1682313726,19.2451,4.38
13154,HD 79517,PM*,1.291833381,2.443148172,7.7766,6.400
13155,HD 186226,PM*,0.1463068061,5.160784097,16.3624,6.83
13156,HD 36719,*,0.8327888626,1.467237127,8.4926,6.095
13157,HD 43760,*,-0.1871864154,1.647527186,3.8659,6.747
13158,HD 57423,PM*,0.3568091456,1.928360606,7.6812,5.080
13159,HD 27528,*,-0.2868844757,1.135124148,5.2782,6.790
13160,HD 63383,EB*,1.35396401,2.084195775,4.0437,6.873
13161,HD 184705,dS*,-0.3290455581,5.133164274,12.7146,6.12
13162,HD 97866,*,-0.7632971431,2.944815515,2.4669,6.196
13163,HD 14509,*,-0.7303918153,0.6083030266,5.8818,6.37
13164,HD 46101,LP*,0.9660928564,1.721534607,3.3055,6.460
13165,HD 147465,*,-1.209967595,4.308749418,4.2241,6.67
13166,HD 209253,*,-0.5608396721,5.770710447,31.8038,6.63
13167,HD 202149,*,-0.1850990658,5.560089935,4.6559,6.756
13168,HD 220885,a2*,0.7489558616,6.139733796,10.3618,5.736
13169,HD 33111,PM*,-0.08877611976,1.343247199,36.2456,2.79
13170,HD 170069,*,-0.8241539266,4.842993524,5.5748,5.679
13171,HD 224083,*,0.514446739,6.261106279,8.6582,6.77
13172,HD 49591,*,-0.6619981009,1.777428714,10.1629,5.260
13173,HD 195843,*,-0.5318623989,5.38778718,5.9738,6.402
13174,HD 203608,PM*,-1.140855376,5.613168314,108.0102,4.22
13175,HD 164427,SB*,-1.03340203,4.732940008,26.038,6.89
13176,HD 127663,*,0.7571646559,3.801940715,9.0923,6.73
13177,HD 96706,Pu*,-1.237053531,2.909600251,3.6884,5.57
13178,HD 220717,PM*,-0.4786493935,6.135728374,6.4553,6.59
13179,HD 76483,PM*,-0.4831393943,2.336673507,14.0808,4.89
13180,HD 10845,dS*,0.3039089101,0.4650792349,6.4827,6.55
13181,HD 205939,*,0.7801019374,5.661257156,5.5186,6.200
13182,HD 57060,SB*,-0.4286301665,1.91407197,0.8549,4.95
13183,HD 21769,*,1.025646981,0.931729985,10.6428,6.409
13184,HD 207883,PM*,-1.330138738,5.746848093,6.2809,6.68
13185,HD 254229,PM*,0.4399276126,1.643489283,32.6000,6.75
13186,HD 85583,*,1.066677585,2.59642141,8.59,6.286
13187,HD 51630,bC*,-0.3875131121,1.820579564,1.0957,6.61
13188,HD 52265,PM*,-0.09367463738,1.833907309,33.425,6.282
13189,HD 222801,*,-0.583425619,6.212773115,6.5043,6.96
13190,HD 12082,PM*,0.3204091641,0.5188339353,3.392,6.79
13191,HD 24585,*,0.0364767285,1.024107401,6.4524,6.80
13192,HD 109593,*,-0.9148617961,3.299564145,2.971,6.54
13193,HD 24388,*,-0.09357106631,1.015319748,4.1736,5.475
13194,HD 53744,*,0.4917761563,1.864948177,4.23,6.464
13195,HD 52037,*,0.2711415146,1.833910425,2.2186,6.85
13196,HD 220278,**,-0.2624860028,6.120227633,15.30,5.22
13197,HD 127972,Be*,-0.7357928555,3.820120246,10.67,2.31
13198,HD 116873,*,-0.7009706986,3.522267841,10.6729,6.405
13199,HD 89132,*,-0.3369911331,2.690192109,10.2449,6.70
13200,HD 145328,PM*,0.6368858383,4.227937134,29.0217,4.73
13201,HD 107325,SB*,0.4645975608,3.230290067,20.8032,5.51
13202,HD 203358,**,0.5663980353,5.588693586,15.24,5.68
13203,HD 209014A,*,-0.4966114216,5.763238963,3.8087,5.72
13204,HD 36570,PM*,1.11971054,1.471535589,11.3571,6.179
13205,HD 44109A,*,0.1347191466,1.65930936,~,6.97
13206,HD 32650,a2*,1.290613,1.362989755,8.9354,5.450
13207,HD 158899,V*,0.4557167358,4.584711588,8.2943,4.41
13208,HD 179145,*,0.622401881,5.017556229,3.2912,6.53
13209,HD 96003,*,0.2210805688,2.899671116,5.4199,6.87
13210,HD 43834,PM*,-1.304686743,1.615482034,97.9158,5.069
13211,HD 118261A,SB*,-1.07672598,3.565736673,~,5.92
13212,HD 213388,*,0.9148424057,5.890011907,7.1508,6.52
13213,HD 70930A,*,-0.8463168896,2.192692991,~,5.17
13214,HD 26076,*,1.258838769,1.10718045,8.4457,6.037
13215,HD 200266,*,-1.330158524,5.53615583,4.4812,6.570
13216,HD 87638,PM*,-0.5828035056,2.642192134,13.2237,6.981
13217,HD 176893,*,1.058844425,4.967925603,5.6278,6.89
13218,HD 40084,SB*,0.8713475797,1.568016837,2.5831,5.907
13219,HD 125981,PM*,-0.01112004615,3.764558036,9.0231,6.739
13220,HD 167106,V*,0.3983720074,4.768533075,3.3375,6.96
13221,HD 417,PM*,0.4444129238,0.0386980229,7.2951,6.246
13222,HD 216206,*,0.8844790926,5.978486736,1.9489,6.230
13223,HD 198802,**,-0.20199837,5.467650987,22.6363,6.389
13224,HD 35736,*,-0.3437496304,1.422430627,21.2729,5.817
13225,HD 171674,*,-1.027461273,4.886033803,5.4952,6.76
13226,HD 36320,*,0.3184196839,1.447109925,3.0175,6.75
13227,HD 182353,**,0.914140764,5.068444166,4.87,6.93
13228,HD 50635A,PM*,0.2299967891,1.809225621,33.9184,4.715
13229,HD 53494,*,-0.8714075914,1.844650694,2.4585,6.85
13230,HD 124294,PM*,-0.1793099518,3.721459743,11.5878,4.21
13231,HD 56171,*,0.678518787,1.909873398,6.7641,6.485
13232,HD 10362,*,1.07199996,0.4493001281,2.4172,6.323
13233,HD 223960,s*b,1.06209221,6.256276912,0.3413,6.90
13234,HD 6546,*,-0.191732217,0.2884410109,8.1127,6.84
13235,HD 80678,PM*,0.05133061435,2.448477094,9.9058,6.97
13236,HD 82610,SB*,-0.4996488271,2.497157933,12.6116,6.45
13237,HD 26571,a2*,0.3911888009,1.103284493,3.3288,6.12
13238,HD 5431,*,0.7501213475,0.2465771119,3.0099,6.51
13239,HD 112131,**,-0.2033058964,3.37856905,14.0952,5.975
13240,HD 156411,PM*,-0.8473455224,4.537230698,17.9656,6.67
13241,HD 31512,**,-0.09025720283,1.293302555,4.5440,5.482
13242,HD 17756,*,0.7334041302,0.7521262099,1.8519,6.84
13243,HD 98430,PM*,-0.2579341788,2.964183379,17.0170,3.56
13244,HD 171296,*,-0.5740520055,4.867037951,5.9013,6.86
13245,HD 84123,PM*,0.733926118,2.548680791,9.7188,6.838
13246,HD 163993,LP*,0.5104717956,4.702635911,23.8544,3.70
13247,HD 155179,PM*,0.6114582752,4.487799484,7.9045,6.73
13248,HD 584,*,0.997725765,0.04579129077,5.3209,6.720
13249,HD 169798,Pu*,0.396308391,4.823499299,2.1994,6.787
13250,HD 148291,*,-1.075707605,4.323279426,3.8484,5.182
13251,HD 30551,LP*,-0.8595022325,1.248604643,0.9613,6.35
13252,NGC 1647,OpC,0.332991368,1.247578803,1.675,6.4
13253,HD 1685,*,-1.215184073,0.09010569353,10.0847,5.499
13254,HD 90074,PM*,-1.016926027,2.714744805,8.5208,6.35
13255,HD 45056,*,-0.7963744022,1.670801573,4.1478,6.73
13256,HD 151769,PM*,-0.1881999905,4.406230432,21.4451,4.632
13257,* 14 Cap A,*,-0.2610100288,5.40734438,~,5.38
13258,HD 172167,dS*,0.6769030684,4.873565508,130.23,0.03
13259,HD 108283,*,0.4759205489,3.256789069,11.2826,4.95
13260,HD 104174B,*,-1.365230141,3.139957846,~,6.02
13261,HD 66306A,SB*,-0.474987504,2.102912123,0.8208,6.86
13262,HD 88351,PM*,-1.423586392,2.635968596,5.7991,6.610
13263,HD 209339A,*,1.090617837,5.762442014,~,6.73
13264,HD 87238,*,-1.000942636,2.626578622,4.6446,6.191
13265,HD 168775,V*,0.6294450968,4.799052512,12.7646,4.34
13266,HD 150026,*,-1.176917169,4.378023689,10.4297,6.015
13267,HD 173360,*,-0.8662158527,4.919234023,5.962,6.92
13268,HD 26242,*,-0.6468530709,1.080463197,2.5226,6.70
13269,HD 26670,*,1.079485983,1.12090543,6.6445,5.70
13270,HD 90043,PM*,-0.01574719732,2.720413421,13.6402,6.441
13271,HD 204277,PM*,0.281419551,5.616077887,30.2522,6.725
13272,HD 221605,PM*,0.4248557175,6.167420542,6.7859,6.91
13273,HD 92938,Be*,-1.125151393,2.802280232,6.7516,4.82
13274,HD 31539,*,0.2993879537,1.297531933,6.8706,5.490
13275,HD 100546,Be*,-1.22513019,3.025633043,9.2494,6.30
13276,HD 147584,SB*,-1.223203461,4.313009816,82.8699,4.899
13277,HD 16307,*,-0.5243837955,0.6813521631,5.0717,5.729
13278,HD 169414,**,0.3799538614,4.815791718,26.9636,3.84
13279,HD 119702,*,1.341176956,3.58089349,9.2427,6.68
13280,HD 184509,PM*,-0.3627159061,5.129507055,32.0524,6.74
13281,HD 56455,a2*,-0.817681018,1.897028729,7.3687,5.715
13282,HD 91550,*,-0.4144313834,2.766411191,3.721,5.060
13283,HD 58155,Be*,-0.5571750437,1.93300286,2.5257,5.43
13284,HD 184603,**,0.6765241438,5.120827669,5.3631,6.610
13285,HD 216945,*,1.08964883,6.003814375,2.9239,6.528
13286,HD 173954,*,0.07402676681,4.922022312,4.3815,6.187
13287,HD 35134,*,0.0488035903,1.408315916,7.9683,6.706
13288,HD 936,SB*,1.047185769,0.0608100521,3.0701,6.910
13289,HD 72115,*,0.3313982515,2.232661501,3.3948,6.45
13290,HD 35202,*,0.6318082373,1.416974662,1.7927,6.46
13291,HD 203153,*,-1.449210412,5.634633402,8.7741,6.94
13292,HD 8803,*,0.06170871052,0.3791402532,5.3545,6.66
13293,HD 87500,PM*,0.2750204095,2.64278669,10.2191,6.360
13294,HD 92501,*,-0.8600921783,2.792393004,3.1428,6.94
13295,HD 203320,*,0.9260386604,5.583655157,5.7006,6.84
13296,HD 158895,*,-1.044511893,4.605851555,2.0944,6.257
13297,HD 99913,SB*,0.9487999582,3.011628915,5.2246,6.490
13298,HD 159707,*,-0.7484020193,4.617009745,5.2024,6.078
13299,HD 14988,*,-0.4511233067,0.629781434,5.3617,6.429
13300,HD 76830,LP*,0.3165130418,2.352611553,4.5077,6.38
13301,HD 115211,V*,-1.165590897,3.478514866,2.5221,4.846
13302,HD 82205,*,-0.4640763355,2.486694566,4.0447,5.479
13303,HD 141296,PM*,-0.7924094194,4.146343404,21.2989,6.117
13304,HD 217944,**,1.022132267,6.036031003,11.5243,6.428
13305,HD 188209,s*b,0.8207818976,5.20101345,0.5038,5.63
13306,HD 82212,*,0.6358075914,2.494540542,4.035,6.88
13307,HD 69548,PM*,1.007810349,2.183556693,31.1333,5.877
13308,HD 137387,Be*,-1.280890009,4.064495283,3.0798,5.49
13309,HD 656A,PM*,-0.6084342441,0.04704399453,5.694,6.89
13310,HD 109195,*,-0.9090171047,3.286468592,7.9479,6.55
13311,HD 72348A,PM*,-0.7245736303,2.22866984,6.7098,6.71
13312,HD 109241,*,-0.7228119276,3.287677982,11.0287,6.69
13313,HD 14417,*,-0.07584453011,0.6094672936,8.4116,6.491
13314,HD 133093,PM*,-0.3077530237,3.940549501,7.8961,6.93
13315,HD 32686,*,-0.05305235563,1.330415437,3.0037,6.031
13316,HD 34172,*,-1.439382038,1.303976723,9.7071,5.828
13317,HD 69081,Be*,-0.6339433712,2.155358888,2.3497,5.064
13318,HD 3735,PM*,-0.5927391156,0.1743746406,23.7694,6.69
13319,HD 74388,EB*,-1.209057932,2.265614628,2.8044,6.97
13320,HD 1796,PM*,0.2353138152,0.09784627801,5.5453,6.240
13321,HD 174504,PM*,0.7899666765,4.924467196,16.3182,6.91
13322,HD 196222,*,-0.2160932245,5.39426298,6.9577,6.80
13323,HD 216400,*,0.0619981519,5.988870024,5.7324,6.64
13324,HD 29116,PM*,-1.423838241,1.138687137,18.4754,5.764
13325,HD 16467,**,0.06009520681,0.6920814337,7.5374,6.237
13326,HD 132933A,*,-0.002448658439,3.93491177,~,5.93
13327,HD 186486,*,0.4498048619,5.164932255,9.0521,5.497
13328,HD 210934,Pu*,-0.4846239389,5.822036687,6.1300,5.43
13329,HD 186500,*,-0.556909578,5.174990325,3.4841,5.512
13330,HD 42618,PM*,0.1183869329,1.623197429,40.9764,6.839
13331,HD 212986,*,0.984951542,5.877336468,4.0494,6.577
13332,HD 17491,LP*,-0.2174792776,0.7327417332,3.0466,6.90
13333,HD 57646,*,0.9056035031,1.941466817,3.2666,5.783
13334,HD 90472,PM*,0.3379748939,2.73583898,8.9676,6.132
13335,HD 102661,*,-0.1284672784,3.09438066,1.6695,6.92
13336,HD 35369,*,-0.1362764005,1.413486004,19.4500,4.12
13337,HD 35860,**,-0.9130907351,1.417082866,6.36,6.23
13338,HD 103659A,PM*,0.6186871769,3.125388239,7.2855,6.77
13339,HD 193347,V*,0.4710859762,5.318212324,2.7813,6.60
13340,HD 155136,PM*,0.8447276187,4.482760197,7.31,6.66
13341,HD 155416,*,-0.6623939355,4.507998151,0.6247,6.593
13342,HD 20356,*,-0.1000154772,0.8567910977,2.3415,6.31
13343,HD 125260,*,0.9651383746,3.737224425,6.1628,6.879
13344,HD 80671,**,-1.198859562,2.43162489,29.4612,5.39
13345,HD 107794,*,-0.08682144418,3.243066565,8.7574,6.46
13346,HD 203345,**,0.1803321057,5.590986746,19.6161,6.711
13347,HD 12262,*,-0.05878810452,0.5246755712,10.6976,6.88
13348,HD 45352,PM*,0.3628458388,1.691992125,4.8076,6.520
13349,HD 192443,C*,0.6759489055,5.294431683,1.3294,6.50
13350,HD 181321,SB*,-0.6105760775,5.067980019,50.2864,6.48
13351,HD 183227,*,0.05113872202,5.097873908,3.0577,5.839
13352,HD 212953,PM*,-0.6829785889,5.884611029,11.7446,5.473
13353,HD 188665,**,1.003974021,5.206708269,5.3644,5.132
13354,HD 36859,SB*,0.4827990362,1.465749342,2.7572,6.247
13355,HD 99211,PM*,-0.3086442323,2.988361735,37.7065,4.06
13356,HD 167193,PM*,0.3818843224,4.770316724,4.4243,6.132
13357,HD 84046,V*,-1.098561258,2.529645851,4.5386,6.403
13358,HD 18866,*,-1.118254917,0.7801473683,10.1567,4.969
13359,HD 125835,*,-1.190233109,3.774734616,1.0937,5.62
13360,HD 176123,*,-0.3240454223,4.971772406,3.5465,6.378
13361,HD 178693,PM*,0.2579687015,5.013435642,11.9952,6.74
13362,HD 50885,*,1.235837893,1.838516671,6.3572,5.690
13363,HD 148898,a2*,-0.3746594173,4.329012894,19.4507,4.45
13364,HD 196952,*,-0.7833945695,5.420390326,5.0256,6.99
13365,HD 55533,*,-0.0045295089,1.890656266,1.1398,6.691
13366,HD 78791,SB*,-1.267156205,2.378652014,8.4039,4.467
13367,HD 74674,PM*,-0.6768270202,2.286439772,5.2633,6.99
13368,HD 155514,dS*,0.4230275743,4.498816197,12.4764,6.200
13369,HD 18104,*,0.4838467148,0.7651827918,5.5752,6.85
13370,HD 23249,PM*,-0.1704033354,0.9741046557,110.0254,3.54
13371,HD 122910,*,0.04009949732,3.685366504,7.3375,6.270
13372,HD 2132,SB*,-0.6852228436,0.1106906806,6.845,6.92
13373,HD 61563A,*,0.09130123219,2.007637185,4.9554,6.55
13374,HD 64960,PM*,0.2755923462,2.081265328,6.981,5.78
